sentence,disease
I have been suffering from fast heart rate and sweating.,Pneumonia
I have been suffering from knee pain and painful walking.,Osteoarthristis
"Symptoms such as muscle weakness, stiff neck, swelling joints, painful walking and movement stiffness are bothering me.",Arthritis
"Recently, I noticed chills, headache and chest pain.",Common Cold
"Symptoms such as fatigue, toxic look (typhos), belly pain and chills are bothering me.",Typhoid
"I think I’m having yellow urine, dark urine, receiving blood transfusion, yellowing of eyes and fatigue.",Hepatitis B
"My body is showing signs of malaise, chest pain, vomiting, cough and phlegm.",Tuberculosis
"Troubled by redness of eyes, sinus pressure, headache, continuous sneezing and muscle pain lately.",Common Cold
"Recently, I noticed vomiting, altered sensorium and headache.",Paralysis (brain hemorrhage)
"My body is showing signs of burning micturition, foul smell of urine and continuous feel of urine.",Urinary tract infection
"I have been suffering from yellowish skin, vomiting, history of alcohol consumption and fluid overload.",Alcoholic hepatitis
"Symptoms such as headache, nausea, high fever, chills and sweating are bothering me.",Malaria
"These days I feel acute liver failure, joint pain and stomach bleeding.",Hepatitis E
These days I feel shivering and continuous sneezing.,Allergy
I have been suffering from movement stiffness and swelling joints.,Arthritis
"I feel discomfort due to slurred speech, irritability and drying and tingling lips.",Hypoglycemia
These days I feel sweating and fast heart rate.,Pneumonia
"Recently, I noticed headache, nausea and unsteadiness.",(vertigo) Paroymsal  Positional Vertigo
"I have been suffering from mucoid sputum, breathlessness, family history and fatigue.",Bronchial Asthma
I think I’m having indigestion and internal itching.,Peptic ulcer diseae
"These days I feel high fever, fatigue, malaise, swelled lymph nodes and headache.",Chicken pox
"Recently, I noticed skin peeling, inflammatory nails, silver like dusting, skin rash and joint pain.",Psoriasis
"I have been suffering from muscle pain, nausea, vomiting and diarrhoea.",hepatitis A
I have been suffering from distention of abdomen and swelling of stomach.,Alcoholic hepatitis
"My body is showing signs of vomiting, sweating and breathlessness.",Heart attack
"I’ve had fatigue, blurred and distorted vision, polyuria, weight loss and restlessness for a few days.",Diabetes 
I’ve had loss of balance and back pain for a few days.,Cervical spondylosis
"I have been suffering from irregular sugar level, polyuria, increased appetite and obesity.",Diabetes 
I feel discomfort due to high fever and extra marital contacts.,AIDS
"Troubled by fatigue, high fever, pain behind the eyes, headache and back pain lately.",Dengue
I'm experiencing symptoms like pain in anal region and bloody stool.,Dimorphic hemmorhoids(piles)
Symptoms such as indigestion and visual disturbances are bothering me.,Migraine
"I’ve had chest pain, sweating and vomiting for a few days.",Heart attack
"My body is showing signs of mild fever, muscle pain, yellowish skin and diarrhoea.",hepatitis A
These days I feel skin rash and burning micturition.,Drug Reaction
Symptoms such as weakness of one body side and headache are bothering me.,Paralysis (brain hemorrhage)
"I think I’m having muscle weakness, painful walking, swelling joints and stiff neck.",Arthritis
"I have been suffering from diarrhoea, loss of appetite and yellowish skin.",hepatitis A
"I feel discomfort due to redness of eyes, throat irritation, headache and chest pain.",Common Cold
"My body is showing signs of swelling joints, movement stiffness, muscle weakness and painful walking.",Arthritis
"I'm experiencing symptoms like spotting  urination, itching, skin rash and burning micturition.",Drug Reaction
"I think I’m having mild fever, vomiting and abdominal pain.",hepatitis A
"These days I feel nausea, yellowish skin, loss of appetite, family history and fatigue.",Hepatitis C
"I think I’m having back pain, loss of appetite and headache.",Dengue
I have been suffering from headache and dizziness.,Hypertension 
"I have been suffering from irritability, abnormal menstruation and sweating.",Hyperthyroidism
"I'm experiencing symptoms like itching, nodal skin eruptions, dischromic  patches and skin rash.",Fungal infection
"Troubled by sweating, excessive hunger, irritability and drying and tingling lips lately.",Hypoglycemia
"Troubled by high fever, fatigue, breathlessness, mucoid sputum and family history lately.",Bronchial Asthma
"I’ve had vomiting, abdominal pain, nausea, fatigue and yellowish skin for a few days.",Hepatitis E
"My body is showing signs of red spots over body, muscle pain and malaise.",Dengue
I'm experiencing symptoms like dischromic  patches and itching.,Fungal infection
"These days I feel swollen legs, cramps, fatigue, prominent veins on calf and bruising.",Varicose veins
"I think I’m having excessive hunger, blurred and distorted vision, fatigue and headache.",Hypoglycemia
Symptoms such as dehydration and sunken eyes are bothering me.,Gastroenteritis
My body is showing signs of high fever and runny nose.,Common Cold
"I think I’m having diarrhoea, loss of appetite, dark urine, mild fever and yellowing of eyes.",hepatitis A
"I'm experiencing symptoms like increased appetite, blurred and distorted vision and polyuria.",Diabetes 
These days I feel headache and altered sensorium.,Paralysis (brain hemorrhage)
"Troubled by weakness in limbs, back pain, loss of balance and dizziness lately.",Cervical spondylosis
"Recently, I noticed nodal skin eruptions, skin rash and itching.",Fungal infection
"I’ve had high fever, muscle pain and nausea for a few days.",Malaria
"I think I’m having chest pain, loss of balance and dizziness.",Hypertension 
"Troubled by patches in throat, high fever, extra marital contacts and muscle wasting lately.",AIDS
"I have been suffering from yellowing of eyes, fatigue, yellowish skin, nausea and family history.",Hepatitis C
"Symptoms such as skin rash, itching and spotting  urination are bothering me.",Drug Reaction
"Symptoms such as movement stiffness, swelling joints, muscle weakness, painful walking and stiff neck are bothering me.",Arthritis
"I'm experiencing symptoms like breathlessness, high fever, cough and chills.",Pneumonia
"I’ve had loss of balance, lack of concentration and dizziness for a few days.",Hypertension 
"I feel discomfort due to palpitations, vomiting, drying and tingling lips and slurred speech.",Hypoglycemia
I’ve had increased appetite and excessive hunger for a few days.,Diabetes 
I feel discomfort due to muscle wasting and high fever.,AIDS
Symptoms such as headache and nausea are bothering me.,Typhoid
"I think I’m having bladder discomfort, burning micturition and foul smell of urine.",Urinary tract infection
"Symptoms such as neck pain, joint pain, hip joint pain and knee pain are bothering me.",Osteoarthristis
My body is showing signs of loss of smell and high fever.,Common Cold
"My body is showing signs of swelling joints, painful walking, neck pain and joint pain.",Osteoarthristis
"I think I’m having vomiting, sweating and chest pain.",Heart attack
"Recently, I noticed acidity, depression, indigestion, headache and excessive hunger.",Migraine
"Symptoms such as fast heart rate, restlessness, irritability, sweating and diarrhoea are bothering me.",Hyperthyroidism
"Symptoms such as yellowish skin, high fever, stomach bleeding and joint pain are bothering me.",Hepatitis E
I feel discomfort due to vomiting and skin rash.,Dengue
"Recently, I noticed obesity, prominent veins on calf, swollen legs, bruising and fatigue.",Varicose veins
"I have been suffering from blood in sputum, fatigue, chest pain and yellowing of eyes.",Tuberculosis
"Symptoms such as anxiety, headache and nausea are bothering me.",Hypoglycemia
"Troubled by chills, high fever and fast heart rate lately.",Pneumonia
"These days I feel swollen blood vessels, fatigue and swollen legs.",Varicose veins
Troubled by headache and vomiting lately.,Paralysis (brain hemorrhage)
Troubled by indigestion and excessive hunger lately.,Migraine
I’ve had nausea and high fever for a few days.,Malaria
"I’ve had loss of appetite, yellowish skin and stomach bleeding for a few days.",Hepatitis E
I think I’m having vomiting and altered sensorium.,Paralysis (brain hemorrhage)
"I have been suffering from abdominal pain, loss of appetite, internal itching and passage of gases.",Peptic ulcer diseae
"I think I’m having red sore around nose, blister, high fever, skin rash and yellow crust ooze.",Impetigo
"My body is showing signs of fatigue, loss of appetite, high fever, red spots over body and headache.",Chicken pox
"Symptoms such as nodal skin eruptions, dischromic  patches and itching are bothering me.",Fungal infection
"Troubled by extra marital contacts, patches in throat and muscle wasting lately.",AIDS
I think I’m having skin rash and nodal skin eruptions.,Fungal infection
I think I’m having breathlessness and family history.,Bronchial Asthma
"Troubled by fluid overload, yellowish skin and swelling of stomach lately.",Alcoholic hepatitis
"I feel discomfort due to muscle weakness, mood swings and fast heart rate.",Hyperthyroidism
"Recently, I noticed breathlessness and vomiting.",Heart attack
"Recently, I noticed fatigue and high fever.",Jaundice
"I'm experiencing symptoms like yellowish skin, vomiting, joint pain and stomach bleeding.",Hepatitis E
"These days I feel excessive hunger, irritability, fatigue, mood swings and restlessness.",Hyperthyroidism
"Symptoms such as malaise, fatigue, skin rash, red spots over body and mild fever are bothering me.",Chicken pox
"I’ve had abdominal pain, swelling of stomach and distention of abdomen for a few days.",Alcoholic hepatitis
"I'm experiencing symptoms like swelled lymph nodes, yellowing of eyes and phlegm.",Tuberculosis
"Troubled by abdominal pain, distention of abdomen, fluid overload and swelling of stomach lately.",Alcoholic hepatitis
I feel discomfort due to yellowish skin and nausea.,Chronic cholestasis
"These days I feel painful walking, neck pain, swelling joints, knee pain and hip joint pain.",Osteoarthristis
"I think I’m having swelled lymph nodes, loss of smell, muscle pain and redness of eyes.",Common Cold
"I have been suffering from acidity, ulcers on tongue, stomach pain, vomiting and chest pain.",GERD
"I feel discomfort due to vomiting, swelled lymph nodes, chest pain and chills.",Tuberculosis
"These days I feel dischromic  patches, itching and nodal skin eruptions.",Fungal infection
"Recently, I noticed high fever and fatigue.",Jaundice
"Troubled by swelling joints, painful walking, stiff neck, movement stiffness and muscle weakness lately.",Arthritis
I feel discomfort due to pain behind the eyes and chills.,Dengue
I have been suffering from itching and yellowing of eyes.,Hepatitis B
"Troubled by weight gain, enlarged thyroid, brittle nails, cold hands and feets and fatigue lately.",Hypothyroidism
"My body is showing signs of scurring, skin rash and pus filled pimples.",Acne
"My body is showing signs of fatigue, breathlessness, mucoid sputum, high fever and cough.",Bronchial Asthma
"I think I’m having chest pain, stomach pain, acidity and vomiting.",GERD
"I feel discomfort due to skin rash, skin peeling, silver like dusting and small dents in nails.",Psoriasis
My body is showing signs of abnormal menstruation and excessive hunger.,Hyperthyroidism
"I’ve had headache, unsteadiness, vomiting, loss of balance and nausea for a few days.",(vertigo) Paroymsal  Positional Vertigo
"I think I’m having burning micturition, continuous feel of urine, foul smell of urine and bladder discomfort.",Urinary tract infection
"I’ve had silver like dusting, small dents in nails and skin peeling for a few days.",Psoriasis
"Symptoms such as breathlessness, fatigue, family history, mucoid sputum and cough are bothering me.",Bronchial Asthma
"I think I’m having neck pain, back pain and loss of balance.",Cervical spondylosis
"I'm experiencing symptoms like mucoid sputum, family history and cough.",Bronchial Asthma
"I’ve had itching, skin rash, lethargy and red spots over body for a few days.",Chicken pox
I have been suffering from fast heart rate and chills.,Pneumonia
"Troubled by chills, malaise, fatigue and continuous sneezing lately.",Common Cold
"I think I’m having vomiting, diarrhoea and dark urine.",hepatitis A
"My body is showing signs of skin rash, itching and nodal skin eruptions.",Fungal infection
My body is showing signs of bloody stool and pain during bowel movements.,Dimorphic hemmorhoids(piles)
"Recently, I noticed unsteadiness, vomiting, loss of balance and headache.",(vertigo) Paroymsal  Positional Vertigo
"I feel discomfort due to bladder discomfort, foul smell of urine and burning micturition.",Urinary tract infection
"I feel discomfort due to bruising, fatigue, swollen blood vessels, prominent veins on calf and swollen legs.",Varicose veins
"Troubled by sunken eyes, vomiting and dehydration lately.",Gastroenteritis
"I’ve had back pain, neck pain, weakness in limbs and dizziness for a few days.",Cervical spondylosis
I’ve had shivering and watering from eyes for a few days.,Allergy
"Recently, I noticed loss of appetite and yellowing of eyes.",Chronic cholestasis
"I'm experiencing symptoms like chest pain, cough, ulcers on tongue and acidity.",GERD
"My body is showing signs of high fever, blister and red sore around nose.",Impetigo
"I’ve had weight loss, irregular sugar level, fatigue and obesity for a few days.",Diabetes 
These days I feel burning micturition and skin rash.,Drug Reaction
"I have been suffering from malaise, abdominal pain, receiving unsterile injections, lethargy and yellowish skin.",Hepatitis B
"These days I feel burning micturition, itching, spotting  urination and stomach pain.",Drug Reaction
"I’ve had vomiting, altered sensorium, headache and weakness of one body side for a few days.",Paralysis (brain hemorrhage)
"I have been suffering from chest pain, sweating, breathlessness and vomiting.",Heart attack
"Troubled by itching, red spots over body and lethargy lately.",Chicken pox
I'm experiencing symptoms like headache and drying and tingling lips.,Hypoglycemia
"Symptoms such as spinning movements, vomiting, loss of balance and nausea are bothering me.",(vertigo) Paroymsal  Positional Vertigo
"These days I feel yellowing of eyes, fatigue, itching and malaise.",Hepatitis B
"Symptoms such as throat irritation, phlegm, high fever and redness of eyes are bothering me.",Common Cold
"I have been suffering from yellowish skin, yellowing of eyes, nausea and fatigue.",Hepatitis C
"These days I feel restlessness, increased appetite, polyuria, blurred and distorted vision and weight loss.",Diabetes 
Troubled by high fever and breathlessness lately.,Bronchial Asthma
"I think I’m having mild fever, chest pain, breathlessness and phlegm.",Tuberculosis
"I’ve had yellow crust ooze, high fever, red sore around nose, skin rash and blister for a few days.",Impetigo
"These days I feel vomiting, drying and tingling lips, excessive hunger, headache and fatigue.",Hypoglycemia
"Recently, I noticed skin rash and pus filled pimples.",Acne
My body is showing signs of pain during bowel movements and bloody stool.,Dimorphic hemmorhoids(piles)
"Symptoms such as continuous sneezing, watering from eyes and shivering are bothering me.",Allergy
Troubled by blister and high fever lately.,Impetigo
"I think I’m having vomiting, muscle pain, sweating and diarrhoea.",Malaria
"I'm experiencing symptoms like cough, vomiting, acidity, stomach pain and chest pain.",GERD
"I feel discomfort due to high fever, back pain, pain behind the eyes and joint pain.",Dengue
"I’ve had chills, sweating, loss of appetite, chest pain and swelled lymph nodes for a few days.",Tuberculosis
"My body is showing signs of irritation in anus, constipation and pain in anal region.",Dimorphic hemmorhoids(piles)
"I think I’m having sunken eyes, diarrhoea, dehydration and vomiting.",Gastroenteritis
"Recently, I noticed puffy face and eyes and fatigue.",Hypothyroidism
"Troubled by malaise, fatigue, high fever and fast heart rate lately.",Pneumonia
"I feel discomfort due to family history, yellowish skin and fatigue.",Hepatitis C
"I have been suffering from unsteadiness, nausea and spinning movements.",(vertigo) Paroymsal  Positional Vertigo
"I'm experiencing symptoms like yellow crust ooze, high fever and skin rash.",Impetigo
"I have been suffering from fatigue, abdominal pain, vomiting and weight loss.",Jaundice
"I’ve had yellowing of eyes, fatigue and nausea for a few days.",Hepatitis D
I have been suffering from muscle wasting and extra marital contacts.,AIDS
"I'm experiencing symptoms like loss of smell, swelled lymph nodes, phlegm and runny nose.",Common Cold
"Recently, I noticed yellowing of eyes, high fever, cough and breathlessness.",Tuberculosis
"My body is showing signs of bruising, swollen blood vessels, fatigue and cramps.",Varicose veins
"I’ve had sunken eyes, vomiting, diarrhoea and dehydration for a few days.",Gastroenteritis
"I have been suffering from diarrhoea, abdominal pain and loss of appetite.",hepatitis A
Troubled by dizziness and fatigue lately.,Hypothyroidism
"These days I feel swelled lymph nodes, muscle pain, high fever and congestion.",Common Cold
"I think I’m having dischromic  patches, nodal skin eruptions, itching and skin rash.",Fungal infection
"Troubled by bladder discomfort, continuous feel of urine and burning micturition lately.",Urinary tract infection
"These days I feel irritability, drying and tingling lips, palpitations, sweating and slurred speech.",Hypoglycemia
"I’ve had restlessness, sweating, fast heart rate, muscle weakness and diarrhoea for a few days.",Hyperthyroidism
"My body is showing signs of vomiting, diarrhoea, sunken eyes and dehydration.",Gastroenteritis
"I’ve had sweating, weight loss, excessive hunger and restlessness for a few days.",Hyperthyroidism
"I feel discomfort due to phlegm, throat irritation, loss of smell and congestion.",Common Cold
I have been suffering from chills and muscle pain.,Malaria
"These days I feel blood in sputum, weight loss and sweating.",Tuberculosis
"I think I’m having painful walking, muscle weakness, stiff neck, movement stiffness and swelling joints.",Arthritis
"I'm experiencing symptoms like sweating, headache, excessive hunger and anxiety.",Hypoglycemia
"I feel discomfort due to throat irritation, continuous sneezing, malaise and headache.",Common Cold
"I'm experiencing symptoms like malaise, loss of appetite and muscle pain.",Dengue
I'm experiencing symptoms like fatigue and loss of appetite.,Dengue
"These days I feel visual disturbances, excessive hunger, acidity and blurred and distorted vision.",Migraine
"Troubled by burning micturition, skin rash and itching lately.",Drug Reaction
"Recently, I noticed abnormal menstruation, mood swings and excessive hunger.",Hyperthyroidism
"I feel discomfort due to stomach pain, cough, ulcers on tongue, chest pain and vomiting.",GERD
"I have been suffering from skin rash, red sore around nose and yellow crust ooze.",Impetigo
"I feel discomfort due to loss of balance, dizziness and lack of concentration.",Hypertension 
"My body is showing signs of abdominal pain, joint pain and nausea.",Hepatitis D
Symptoms such as cough and fatigue are bothering me.,Bronchial Asthma
"These days I feel headache, vomiting, diarrhoea, nausea and sweating.",Malaria
I'm experiencing symptoms like loss of balance and headache.,Hypertension 
I'm experiencing symptoms like diarrhoea and high fever.,Typhoid
"Symptoms such as headache, high fever and vomiting are bothering me.",Malaria
"Troubled by itching, burning micturition and spotting  urination lately.",Drug Reaction
"I think I’m having muscle weakness, excessive hunger and mood swings.",Hyperthyroidism
"I feel discomfort due to yellowish skin, swelling of stomach and abdominal pain.",Alcoholic hepatitis
"I feel discomfort due to itching, dischromic  patches, nodal skin eruptions and skin rash.",Fungal infection
I'm experiencing symptoms like headache and nausea.,Malaria
"I'm experiencing symptoms like swelling joints, painful walking, stiff neck, movement stiffness and muscle weakness.",Arthritis
I’ve had back pain and neck pain for a few days.,Cervical spondylosis
"I think I’m having abnormal menstruation, brittle nails and depression.",Hypothyroidism
"My body is showing signs of dizziness, depression and irritability.",Hypothyroidism
"I’ve had history of alcohol consumption, abdominal pain, vomiting, distention of abdomen and fluid overload for a few days.",Alcoholic hepatitis
These days I feel loss of balance and headache.,(vertigo) Paroymsal  Positional Vertigo
"These days I feel high fever, blister, skin rash, red sore around nose and yellow crust ooze.",Impetigo
"I have been suffering from excessive hunger, acidity and blurred and distorted vision.",Migraine
"My body is showing signs of skin peeling, joint pain, silver like dusting and skin rash.",Psoriasis
"I'm experiencing symptoms like ulcers on tongue, stomach pain, acidity, cough and vomiting.",GERD
I'm experiencing symptoms like red sore around nose and skin rash.,Impetigo
"Troubled by mood swings, enlarged thyroid and cold hands and feets lately.",Hypothyroidism
"I feel discomfort due to breathlessness, blood in sputum, swelled lymph nodes, phlegm and cough.",Tuberculosis
I have been suffering from nausea and loss of appetite.,Dengue
"Symptoms such as sweating, chills and malaise are bothering me.",Pneumonia
Symptoms such as swelling joints and painful walking are bothering me.,Arthritis
"Recently, I noticed abdominal pain, fluid overload, swelling of stomach and yellowish skin.",Alcoholic hepatitis
"Symptoms such as nodal skin eruptions, dischromic  patches and itching are bothering me.",Fungal infection
I think I’m having extra marital contacts and high fever.,AIDS
"I’ve had yellowing of eyes, vomiting, abdominal pain, nausea and loss of appetite for a few days.",Chronic cholestasis
"I’ve had headache, constipation, abdominal pain and belly pain for a few days.",Typhoid
"These days I feel cold hands and feets, weight gain, lethargy, enlarged thyroid and mood swings.",Hypothyroidism
"My body is showing signs of nausea, loss of appetite, yellowish skin and yellowing of eyes.",Chronic cholestasis
I’ve had constipation and pain during bowel movements for a few days.,Dimorphic hemmorhoids(piles)
"My body is showing signs of fatigue, malaise and fast heart rate.",Pneumonia
"Recently, I noticed constipation, pain during bowel movements, bloody stool and irritation in anus.",Dimorphic hemmorhoids(piles)
"I have been suffering from yellowing of eyes, fatigue, yellowish skin, joint pain and dark urine.",Hepatitis D
"Symptoms such as weight loss, excessive hunger, lethargy and restlessness are bothering me.",Diabetes 
"Recently, I noticed vomiting, loss of appetite, yellowish skin and abdominal pain.",Chronic cholestasis
"I think I’m having fatigue, drying and tingling lips, blurred and distorted vision, vomiting and slurred speech.",Hypoglycemia
"Recently, I noticed anxiety and fatigue.",Hypoglycemia
"Recently, I noticed weakness in limbs, dizziness, back pain, neck pain and loss of balance.",Cervical spondylosis
"Recently, I noticed foul smell of urine and bladder discomfort.",Urinary tract infection
"I'm experiencing symptoms like headache, unsteadiness and vomiting.",(vertigo) Paroymsal  Positional Vertigo
"I’ve had painful walking, muscle weakness, swelling joints and movement stiffness for a few days.",Arthritis
"Recently, I noticed weakness of one body side, altered sensorium, vomiting and headache.",Paralysis (brain hemorrhage)
"I feel discomfort due to swollen blood vessels, cramps, prominent veins on calf and bruising.",Varicose veins
"Troubled by excessive hunger, sweating, fatigue, headache and vomiting lately.",Hypoglycemia
"Recently, I noticed itching, vomiting, abdominal pain, yellowing of eyes and yellowish skin.",Chronic cholestasis
"I think I’m having itching, dark urine, fatigue, high fever and yellowish skin.",Jaundice
Troubled by obesity and blurred and distorted vision lately.,Diabetes 
"These days I feel vomiting, loss of appetite, nausea, yellowing of eyes and abdominal pain.",Chronic cholestasis
"I think I’m having stiff neck, painful walking and muscle weakness.",Arthritis
My body is showing signs of chest pain and sweating.,Heart attack
These days I feel breathlessness and sweating.,Heart attack
"My body is showing signs of diarrhoea, vomiting and sunken eyes.",Gastroenteritis
"Recently, I noticed lethargy, abnormal menstruation and puffy face and eyes.",Hypothyroidism
"I’ve had malaise, red spots over body, swelled lymph nodes and loss of appetite for a few days.",Chicken pox
"Troubled by loss of balance, headache, unsteadiness and spinning movements lately.",(vertigo) Paroymsal  Positional Vertigo
"I think I’m having vomiting, weakness of one body side and altered sensorium.",Paralysis (brain hemorrhage)
"I think I’m having breathlessness, sweating, fast heart rate and chest pain.",Pneumonia
Troubled by burning micturition and continuous feel of urine lately.,Urinary tract infection
"My body is showing signs of headache, altered sensorium and vomiting.",Paralysis (brain hemorrhage)
I have been suffering from yellowing of eyes and family history.,Hepatitis C
"Symptoms such as burning micturition, spotting  urination, skin rash, itching and stomach pain are bothering me.",Drug Reaction
"I have been suffering from swollen blood vessels, swollen legs, obesity, prominent veins on calf and bruising.",Varicose veins
"Symptoms such as swelling of stomach, distention of abdomen, vomiting, history of alcohol consumption and yellowish skin are bothering me.",Alcoholic hepatitis
"I feel discomfort due to brittle nails, abnormal menstruation, enlarged thyroid, puffy face and eyes and dizziness.",Hypothyroidism
"These days I feel shivering, continuous sneezing and chills.",Allergy
"Recently, I noticed cough, high fever, mucoid sputum, breathlessness and family history.",Bronchial Asthma
"I have been suffering from stomach pain, chest pain, cough, vomiting and acidity.",GERD
"Recently, I noticed sweating and chest pain.",Heart attack
"Troubled by lethargy, puffy face and eyes, fatigue and depression lately.",Hypothyroidism
Troubled by headache and weakness of one body side lately.,Paralysis (brain hemorrhage)
"Troubled by abnormal menstruation, weight loss, mood swings and sweating lately.",Hyperthyroidism
These days I feel red sore around nose and yellow crust ooze.,Impetigo
"I feel discomfort due to itching, mild fever, malaise and high fever.",Chicken pox
I think I’m having polyuria and blurred and distorted vision.,Diabetes 
"I’ve had high fever, muscle wasting and patches in throat for a few days.",AIDS
These days I feel headache and lack of concentration.,Hypertension 
"I feel discomfort due to abdominal pain, vomiting, dark urine and fatigue.",Jaundice
"I think I’m having chest pain, loss of balance, dizziness and headache.",Hypertension 
I feel discomfort due to lethargy and weight loss.,Diabetes 
"I'm experiencing symptoms like sweating, vomiting and chest pain.",Heart attack
"Recently, I noticed fatigue, headache, vomiting, nausea and skin rash.",Dengue
"I have been suffering from cough, family history, breathlessness, fatigue and mucoid sputum.",Bronchial Asthma
"These days I feel receiving unsterile injections, fatigue, dark urine and abdominal pain.",Hepatitis B
"These days I feel silver like dusting, small dents in nails, joint pain, skin peeling and skin rash.",Psoriasis
Symptoms such as yellowish skin and diarrhoea are bothering me.,hepatitis A
"My body is showing signs of vomiting, itching, dark urine and high fever.",Jaundice
"I’ve had swelling joints, painful walking, joint pain, hip joint pain and knee pain for a few days.",Osteoarthristis
I feel discomfort due to stomach pain and itching.,Drug Reaction
